[19-Feb-2024 08:18:54 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency10_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 94
[19-Feb-2024 08:18:54 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$bypass_verify_payment is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 96
[19-Feb-2024 08:18:55 UTC] PHP Deprecated:  Creation of dynamic property WPPopups_Optin_Fields::$popups is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\wp-popups-lite\src\includes\providers\class-optin-fields.php on line 12
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Gateway_Atom::$atom_port is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 47
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Gateway_Atom::$res_enc_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 54
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Gateway_Atom::$res_salt_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 55
[19-Feb-2024 08:18:56 UTC] PHP Warning:  Undefined array key "wc-api" in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 281
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$gateway_module is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 53
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$redirect_page_id is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 54
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency1 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 56
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency1_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 57
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency1_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 58
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency2 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 60
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency2_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 61
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency2_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 62
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency3 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 64
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency3_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 65
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency3_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 66
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency4 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 68
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency4_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 69
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency4_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 70
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency5 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 72
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency5_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 73
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency5_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 74
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency6 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 76
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency6_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 77
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency6_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 78
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency7 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 80
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency7_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 81
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency7_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 82
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency8 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 84
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency8_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 85
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency8_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 86
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency9 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 88
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency9_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 89
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency9_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 90
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency10 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 92
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency10_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 93
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency10_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 94
[19-Feb-2024 08:18:56 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$bypass_verify_payment is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 96
[19-Feb-2024 08:18:57 UTC] PHP Deprecated:  Creation of dynamic property WPPopups_Optin_Fields::$popups is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\wp-popups-lite\src\includes\providers\class-optin-fields.php on line 12
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Gateway_Atom::$atom_port is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 47
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Gateway_Atom::$res_enc_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 54
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Gateway_Atom::$res_salt_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 55
[19-Feb-2024 08:18:59 UTC] PHP Warning:  Undefined array key "wc-api" in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 281
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$gateway_module is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 53
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$redirect_page_id is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 54
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency1 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 56
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency1_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 57
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency1_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 58
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency2 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 60
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency2_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 61
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency2_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 62
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency3 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 64
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency3_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 65
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency3_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 66
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency4 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 68
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency4_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 69
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency4_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 70
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency5 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 72
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency5_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 73
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency5_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 74
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency6 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 76
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency6_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 77
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency6_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 78
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency7 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 80
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency7_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 81
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency7_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 82
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency8 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 84
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency8_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 85
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency8_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 86
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency9 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 88
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency9_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 89
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency9_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 90
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency10 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 92
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency10_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 93
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency10_payu_salt is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 94
[19-Feb-2024 08:18:59 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$bypass_verify_payment is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 96
[19-Feb-2024 08:19:00 UTC] PHP Deprecated:  Creation of dynamic property WPPopups_Optin_Fields::$popups is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\wp-popups-lite\src\includes\providers\class-optin-fields.php on line 12
[19-Feb-2024 08:19:01 UTC] PHP Parse error:  syntax error, unexpected end of file, expecting "elseif" or "else" or "endif" in C:\xampp\htdocs\defguru\wp-content\themes\educrat\learnpress\content-course.php on line 156
[19-Feb-2024 08:19:36 UTC] PHP Deprecated:  Creation of dynamic property WPPopups_Optin_Fields::$popups is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\wp-popups-lite\src\includes\providers\class-optin-fields.php on line 12
[19-Feb-2024 08:19:38 UTC] PHP Deprecated:  Creation of dynamic property WPPopups_Optin_Fields::$popups is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\wp-popups-lite\src\includes\providers\class-optin-fields.php on line 12
[19-Feb-2024 08:19:38 UTC] PHP Deprecated:  Creation of dynamic property WC_Gateway_Atom::$atom_port is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 47
[19-Feb-2024 08:19:38 UTC] PHP Deprecated:  Creation of dynamic property WC_Gateway_Atom::$res_enc_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 54
[19-Feb-2024 08:19:38 UTC] PHP Deprecated:  Creation of dynamic property WC_Gateway_Atom::$res_salt_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 55
[19-Feb-2024 08:19:38 UTC] PHP Warning:  Undefined array key "wc-api" in C:\xampp\htdocs\defguru\wp-content\plugins\WooCommerce_AIPAY\woocommerce-atom-gateway.php on line 281
[19-Feb-2024 08:19:38 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$gateway_module is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 53
[19-Feb-2024 08:19:38 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$redirect_page_id is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 54
[19-Feb-2024 08:19:38 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency1 is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 56
[19-Feb-2024 08:19:38 UTC] PHP Deprecated:  Creation of dynamic property WC_Payubiz::$currency1_payu_key is deprecated in C:\xampp\htdocs\defguru\wp-content\plugins\payu-india\index.php on line 57
